epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1147.06,1.09699,0.99692,0.6297,0.01016,0.63086,0.04024,0.01179,0.57769,7.80132,0.33035,3.33144e-05,3.33144e-05,0.0667189
2,2258.62,0.69697,1.23138,0.33585,0.06477,0.41248,0.05425,0.0239,0.35019,2.72727,0.19439,6.33487e-05,6.33487e-05,0.0334156
3,3371.67,0.56486,1.2876,0.26571,0.11481,0.31438,0.09028,0.04623,0.28551,3.12589,0.16212,9.0083e-05,9.0083e-05,0.00010899
4,1113.41,0.51062,1.27398,0.24191,0.14175,0.3087,0.11754,0.06204,0.2699,2.67808,0.15238,9.01e-05,9.01e-05,9.01e-05
5,2230.54,0.5463,1.03677,0.28879,0.5214,0.48513,0.44202,0.22586,0.30024,1.59578,0.18963,8.68e-05,8.68e-05,8.68e-05
6,3342,0.55635,0.90344,0.30085,0.58088,0.53163,0.51683,0.26242,0.31623,1.77317,0.19776,8.35e-05,8.35e-05,8.35e-05
7,4458.68,0.55732,0.86971,0.298,0.59544,0.52622,0.54229,0.28858,0.30929,1.50404,0.19238,8.02e-05,8.02e-05,8.02e-05
8,5573.13,0.55217,0.82218,0.29696,0.58206,0.56815,0.57147,0.3036,0.31312,1.76721,0.19997,7.69e-05,7.69e-05,7.69e-05
9,6689.44,0.54535,0.8064,0.2928,0.64919,0.59733,0.62115,0.33345,0.31129,1.24872,0.19978,7.36e-05,7.36e-05,7.36e-05
10,7805.32,0.54006,0.77529,0.29127,0.67077,0.61149,0.64643,0.34798,0.30601,0.98557,0.19467,7.03e-05,7.03e-05,7.03e-05
11,8919.15,0.5431,0.74858,0.29404,0.65364,0.60418,0.64109,0.3467,0.31355,1.39926,0.20382,6.7e-05,6.7e-05,6.7e-05
12,10031.3,0.53527,0.74263,0.28883,0.67504,0.61281,0.65511,0.35968,0.30567,1.00378,0.19742,6.37e-05,6.37e-05,6.37e-05
13,11174,0.52988,0.72327,0.28502,0.69568,0.64435,0.69271,0.38157,0.30659,0.87076,0.2014,6.04e-05,6.04e-05,6.04e-05
14,12309.9,0.52841,0.71266,0.28183,0.70715,0.63959,0.6996,0.38402,0.30627,0.88882,0.19924,5.71e-05,5.71e-05,5.71e-05
15,13437.1,0.52138,0.7039,0.28254,0.69778,0.65703,0.70756,0.39085,0.3002,0.90172,0.1924,5.38e-05,5.38e-05,5.38e-05
16,14551.4,0.52084,0.69982,0.28073,0.70671,0.65811,0.70706,0.38805,0.30649,0.78457,0.2005,5.05e-05,5.05e-05,5.05e-05
17,15666.2,0.51752,0.68319,0.28448,0.72716,0.65274,0.71041,0.38811,0.30743,0.84177,0.20796,4.72e-05,4.72e-05,4.72e-05
18,16785.7,0.51426,0.67009,0.27559,0.71085,0.65722,0.71035,0.39548,0.30177,0.78867,0.19852,4.39e-05,4.39e-05,4.39e-05
19,17898.8,0.51429,0.66394,0.2748,0.728,0.68435,0.7261,0.40148,0.30841,0.79552,0.20406,4.06e-05,4.06e-05,4.06e-05
20,19008.1,0.51072,0.66394,0.27595,0.72944,0.67305,0.72702,0.40532,0.30492,0.67808,0.20484,3.73e-05,3.73e-05,3.73e-05
21,20118.4,0.48564,0.62199,0.29832,0.72571,0.69796,0.74262,0.42151,0.29919,0.54842,0.19097,3.4e-05,3.4e-05,3.4e-05
22,21226.2,0.48207,0.59678,0.28952,0.73636,0.69258,0.74278,0.41694,0.30415,0.50232,0.20507,3.07e-05,3.07e-05,3.07e-05
23,22334.6,0.47724,0.58759,0.28534,0.75723,0.69327,0.74862,0.41967,0.29965,0.48267,0.19769,2.74e-05,2.74e-05,2.74e-05
24,23444.7,0.47395,0.58007,0.27904,0.75587,0.68275,0.74594,0.42477,0.29979,0.45787,0.19914,2.41e-05,2.41e-05,2.41e-05
25,24561.8,0.47155,0.56498,0.28128,0.75645,0.69586,0.753,0.42588,0.29783,0.49439,0.19869,2.08e-05,2.08e-05,2.08e-05
26,25672.8,0.46482,0.5617,0.27517,0.75223,0.70241,0.75684,0.43013,0.29669,0.47927,0.19649,1.75e-05,1.75e-05,1.75e-05
27,26783.7,0.46555,0.55078,0.2769,0.75765,0.70353,0.75703,0.42861,0.30083,0.49404,0.19988,1.42e-05,1.42e-05,1.42e-05
28,27894.3,0.46574,0.54548,0.27951,0.76519,0.6962,0.75582,0.42827,0.2982,0.48421,0.19786,1.09e-05,1.09e-05,1.09e-05
29,29017.9,0.45936,0.53878,0.26834,0.76705,0.7055,0.75892,0.42837,0.30072,0.45359,0.20407,7.6e-06,7.6e-06,7.6e-06
30,30140.3,0.45728,0.54104,0.26937,0.76396,0.70182,0.75998,0.4299,0.29934,0.45325,0.20306,4.3e-06,4.3e-06,4.3e-06
