epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,378.15,1.64212,2.63937,1.52574,0.47612,0.3567,0.32509,0.13478,1.71599,7.18888,1.56275,0.00998866,0.00332955,0.00998866,0.00332955,0.00998866,0.00332955,0.00998866,0.00332955
2,684.281,1.7045,1.93577,1.54803,0.42159,0.40551,0.35538,0.14516,1.79278,6.72232,1.57868,0.0195929,0.00653096,0.0195929,0.00653096,0.0195929,0.00653096,0.0195929,0.00653096
3,989.609,1.82046,2.01853,1.64015,0.40152,0.38366,0.33776,0.13465,1.90783,5.58825,1.69015,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037
4,1294.9,1.83506,2.03477,1.67147,0.47919,0.39555,0.39203,0.17596,1.68352,6.05053,1.54638,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1601.64,1.77285,1.89865,1.6257,0.4941,0.45048,0.43277,0.19184,1.62918,4.09583,1.49558,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1906.69,1.70551,1.76337,1.577,0.50892,0.48791,0.48893,0.24241,1.53163,3.90673,1.42698,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2212.48,1.66938,1.70406,1.54648,0.57369,0.51706,0.54646,0.26893,1.51535,3.2268,1.39869,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2516.3,1.6377,1.63103,1.51836,0.59687,0.51955,0.55056,0.27552,1.52674,3.14371,1.39726,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2817.77,1.61673,1.57597,1.49933,0.63375,0.54638,0.59153,0.30092,1.47712,2.93709,1.36482,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3122.14,1.59418,1.5489,1.48183,0.62534,0.5608,0.59802,0.30443,1.44154,2.31375,1.32867,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3430.07,1.5761,1.52372,1.47135,0.63333,0.55623,0.60913,0.31948,1.40481,1.83252,1.31502,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3731.04,1.55737,1.47127,1.46488,0.65947,0.58185,0.63103,0.33584,1.41704,2.24173,1.32404,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,4032.77,1.54002,1.44744,1.44886,0.6695,0.59995,0.64527,0.34357,1.39827,2.12533,1.29605,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4333.14,1.5345,1.43204,1.44607,0.63848,0.60692,0.6383,0.34206,1.38203,2.48422,1.28717,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4635.58,1.51841,1.40499,1.43147,0.67827,0.60584,0.66054,0.35703,1.36755,2.1903,1.27276,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4940.94,1.50622,1.39445,1.42855,0.68007,0.61489,0.66157,0.36093,1.38234,1.99769,1.2906,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,5245.3,1.49613,1.36211,1.41935,0.68021,0.63784,0.67986,0.36862,1.35952,1.61504,1.27476,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,5547.91,1.47913,1.33763,1.40496,0.67806,0.63515,0.67859,0.37132,1.33781,1.78418,1.25951,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5857.29,1.47924,1.33629,1.4065,0.70379,0.64149,0.69181,0.38556,1.32415,1.58507,1.24836,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,6165.09,1.46879,1.3155,1.39647,0.6977,0.64021,0.68657,0.3845,1.32231,1.84012,1.24758,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,6472.65,1.45353,1.30246,1.393,0.72731,0.62659,0.70129,0.39273,1.31565,1.53512,1.23539,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,6777.5,1.44557,1.28081,1.37983,0.70571,0.64181,0.70041,0.39364,1.30249,1.39567,1.23073,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,7082.35,1.44025,1.27508,1.38012,0.70782,0.64579,0.70457,0.3971,1.29349,1.47218,1.21457,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,7387.12,1.43999,1.25974,1.37188,0.70069,0.65562,0.71144,0.40036,1.29947,1.5041,1.22569,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,7692.77,1.43034,1.23888,1.36626,0.71566,0.65537,0.71285,0.4077,1.30021,1.43245,1.22095,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
