epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,497.427,1.69163,2.94693,0.01373,0.5275,0.45613,0.44208,0.20579,1.49692,2.53697,0.01908,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956,0.00998867,0.00332956
2,906.112,1.73336,1.86574,0.01437,0.51458,0.46789,0.44872,0.21099,1.51517,2.3585,0.02024,0.0195929,0.00653097,0.0195929,0.00653097,0.0195929,0.00653097,0.0195929,0.00653097
3,1302.38,1.84622,2.00993,0.01634,0.46859,0.39369,0.38663,0.16623,1.63502,2.62558,0.02186,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037
4,1695.6,1.91144,2.06857,0.01692,0.50585,0.46672,0.46084,0.20801,1.57103,2.37919,0.02089,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2089.25,1.87435,1.96561,0.01627,0.53277,0.47887,0.4873,0.22923,1.53198,2.1369,0.02031,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2481.4,1.83184,1.88387,0.0159,0.58483,0.48978,0.51567,0.24426,1.50842,2.46169,0.01953,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2875.02,1.80024,1.79117,0.0155,0.60663,0.51649,0.55907,0.27353,1.46838,1.93241,0.01901,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3265.48,1.78207,1.71472,0.01508,0.59279,0.55868,0.58162,0.28437,1.4727,1.651,0.01863,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,440.001,1.75731,1.68173,0.01454,0.61484,0.56198,0.5937,0.29789,1.53263,1.59289,0.01857,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,807.637,1.73568,1.62106,0.01446,0.6346,0.59358,0.63917,0.32286,1.5445,1.55457,0.01872,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1175.51,1.73503,1.58109,0.01432,0.66547,0.58029,0.63802,0.32812,1.54863,1.46307,0.0192,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1542.21,1.71738,1.56244,0.01404,0.64882,0.59153,0.6384,0.33539,1.5099,1.52077,0.01831,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1909.03,1.69387,1.54462,0.01384,0.63303,0.5907,0.62882,0.33917,1.46863,1.50633,0.01764,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2279.33,1.68201,1.48747,0.01374,0.67737,0.60569,0.66823,0.35941,1.49418,1.31711,0.01791,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2648.97,1.66193,1.47867,0.01351,0.68655,0.61405,0.67341,0.35707,1.47949,1.29487,0.01752,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3020.55,1.65517,1.4283,0.01326,0.68583,0.62183,0.68371,0.37129,1.4626,1.29807,0.01732,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3394.68,1.65022,1.40906,0.01312,0.71926,0.64219,0.70718,0.38507,1.44219,1.23454,0.01684,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3769.52,1.63996,1.38959,0.01301,0.71771,0.62411,0.71525,0.39639,1.41721,1.15203,0.01615,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4145.52,1.62693,1.37523,0.01277,0.72568,0.63891,0.71418,0.39921,1.42463,1.1827,0.01618,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4520.98,1.61264,1.33285,0.01287,0.71067,0.64432,0.7209,0.40438,1.41236,1.15052,0.01639,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4891.4,1.60347,1.31687,0.01253,0.72382,0.65098,0.72385,0.40548,1.41298,1.14824,0.01637,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5256.97,1.59447,1.29543,0.01249,0.74212,0.62927,0.72013,0.40786,1.38672,1.20598,0.01565,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,5623.64,1.58435,1.28411,0.01229,0.72713,0.66446,0.72945,0.41244,1.37619,1.13857,0.01556,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,5994.17,1.56839,1.26135,0.01227,0.7506,0.6577,0.74522,0.42574,1.38102,1.12014,0.01577,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,6364.14,1.55379,1.24611,0.01202,0.73426,0.66495,0.73974,0.42397,1.36578,1.11669,0.01528,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,6733.11,1.54816,1.21748,0.01196,0.73381,0.666,0.74314,0.42489,1.37264,1.09707,0.01532,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,7102.81,1.54534,1.20536,0.01192,0.7198,0.6817,0.74362,0.42751,1.36049,1.05845,0.01528,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,7473.99,1.5303,1.18455,0.01171,0.73009,0.6812,0.7518,0.43321,1.36896,1.07737,0.01541,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,7840.85,1.51532,1.17034,0.01161,0.76482,0.67711,0.75414,0.43718,1.35278,1.02953,0.01515,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,8206.95,1.51679,1.14179,0.01148,0.74713,0.68751,0.75534,0.43699,1.35122,1.02046,0.01505,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,8574.47,1.49778,1.11938,0.01144,0.7527,0.68461,0.76226,0.44592,1.34582,1.0139,0.01505,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,8940.81,1.49546,1.09487,0.01129,0.7543,0.6909,0.76142,0.44769,1.35244,0.98772,0.01513,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,9304.84,1.47949,1.08028,0.01112,0.7645,0.69365,0.76712,0.44632,1.3361,1.00012,0.01475,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9664.76,1.4672,1.06147,0.01106,0.76079,0.69702,0.76883,0.45275,1.32575,0.97052,0.01471,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,10029.6,1.4647,1.0365,0.01085,0.75805,0.70588,0.77536,0.45468,1.32798,0.98413,0.01472,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,10394.1,1.43503,1.00752,0.0106,0.76453,0.70894,0.7746,0.45695,1.33245,0.95715,0.0148,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,10760.1,1.4378,1.00314,0.01047,0.75178,0.70894,0.77236,0.4563,1.3366,0.96238,0.01473,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,11124.8,1.42384,0.99078,0.01023,0.75975,0.711,0.77229,0.45741,1.33163,0.95117,0.01462,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,11491.5,1.41131,0.95842,0.01039,0.77229,0.70716,0.77631,0.45799,1.34242,0.96039,0.0148,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,11858.6,1.39564,0.94798,0.01019,0.77416,0.71513,0.77815,0.45876,1.34135,0.95003,0.01468,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,12216,1.40474,0.83182,0.01183,0.75993,0.71395,0.77186,0.45639,1.338,0.96524,0.01468,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,12568.5,1.3752,0.79747,0.0112,0.76105,0.71338,0.77329,0.45512,1.34906,0.96647,0.01496,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,12920.4,1.35346,0.77811,0.01112,0.7657,0.70882,0.77601,0.45714,1.34919,0.94996,0.01497,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
