epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,300.195,1.63039,2.60636,1.51994,0.42321,0.33952,0.30095,0.13394,1.69274,6.47788,1.49859,0.00998866,0.00332955,0.00998866,0.00332955,0.00998866,0.00332955,0.00998866,0.00332955
2,594.18,1.67991,1.91576,1.53024,0.50013,0.43063,0.42551,0.19058,1.66099,4.91967,1.50532,0.0195929,0.00653096,0.0195929,0.00653096,0.0195929,0.00653096,0.0195929,0.00653096
3,884.358,1.79871,1.97666,1.61317,0.45148,0.3888,0.37778,0.16395,1.71063,8.7198,1.55756,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037,0.0288011,0.00960037
4,1170.46,1.81169,2.00156,1.64598,0.46571,0.42113,0.40837,0.18238,1.70619,8.08776,1.58097,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1455.79,1.75347,1.8585,1.59571,0.52765,0.44744,0.44715,0.20959,1.59189,3.79358,1.46571,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1741.67,1.68735,1.74194,1.55252,0.56645,0.47851,0.50683,0.24777,1.54859,2.87133,1.41964,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2023.26,1.65361,1.68345,1.53122,0.5792,0.52764,0.55215,0.27911,1.5194,3.36168,1.39652,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2300.5,1.62369,1.60017,1.4987,0.61522,0.54878,0.58424,0.29653,1.47432,2.64468,1.36232,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2589.67,1.59833,1.55429,1.47912,0.65761,0.55477,0.60192,0.30441,1.45626,4.08015,1.34894,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2870.4,1.57971,1.53327,1.46887,0.64897,0.58029,0.6235,0.32443,1.424,2.70444,1.33582,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3150.55,1.56173,1.50551,1.45791,0.65628,0.57465,0.62736,0.33191,1.39684,2.65405,1.30777,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3429.71,1.5395,1.45493,1.44674,0.65142,0.59508,0.63714,0.34174,1.39597,2.41967,1.30981,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3710.97,1.52294,1.43136,1.43166,0.66541,0.59451,0.64908,0.34297,1.40303,2.32806,1.30851,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3990.56,1.52147,1.40618,1.4297,0.67256,0.60271,0.65507,0.35235,1.37534,2.83825,1.27315,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,304.46,1.49971,1.39294,1.41539,0.69916,0.61402,0.67439,0.36822,1.29592,2.42558,1.18568,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,605.353,1.49448,1.37454,1.41072,0.66878,0.63932,0.68365,0.36952,1.28116,2.59447,1.18159,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,902.199,1.48156,1.3503,1.40572,0.69097,0.61346,0.67455,0.37246,1.27381,2.45138,1.17321,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,1196.25,1.46421,1.31856,1.38451,0.70272,0.62088,0.69409,0.38363,1.26552,1.91899,1.16562,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,1488.66,1.46531,1.31652,1.38512,0.70712,0.62862,0.69269,0.3844,1.26272,1.85651,1.16023,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,1784.43,1.44722,1.29475,1.37761,0.71163,0.6284,0.69689,0.38871,1.2671,2.29372,1.16769,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,2078.09,1.4409,1.28057,1.38002,0.71868,0.65617,0.71192,0.39621,1.25171,1.87403,1.15431,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,2373.79,1.42879,1.25321,1.36202,0.72669,0.64792,0.7097,0.40105,1.24662,1.9012,1.15005,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,2666.29,1.41789,1.2401,1.36527,0.71989,0.64787,0.71519,0.39939,1.24895,1.78356,1.14814,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,2958.23,1.42071,1.24979,1.35294,0.70375,0.6593,0.72053,0.40547,1.24539,1.91478,1.14194,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,3252.38,1.40262,1.21286,1.34747,0.73515,0.65918,0.72423,0.40672,1.24242,2.1083,1.14419,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,3544.79,1.39639,1.20694,1.34366,0.73669,0.65648,0.72625,0.41242,1.2264,1.79047,1.13325,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,3837.86,1.39142,1.18066,1.33443,0.73505,0.66515,0.73211,0.41838,1.22435,1.67133,1.12923,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,4130.81,1.37982,1.17236,1.32965,0.73972,0.66508,0.73626,0.41706,1.22862,1.72841,1.13037,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,4422.5,1.37221,1.15461,1.31608,0.74605,0.66037,0.73874,0.42134,1.22838,1.79273,1.12576,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,4715.19,1.36973,1.14134,1.31928,0.73889,0.68227,0.74637,0.4265,1.21285,1.60833,1.12225,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,5006.05,1.36243,1.12606,1.31582,0.75038,0.67308,0.74597,0.42455,1.21836,1.71598,1.12379,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,5297.13,1.35205,1.12006,1.30678,0.75088,0.66985,0.74532,0.42417,1.21614,1.63148,1.12165,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5587.7,1.34121,1.10486,1.3016,0.75402,0.66503,0.74785,0.42863,1.21689,1.56491,1.12282,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,5881.37,1.34059,1.10317,1.30049,0.74372,0.68118,0.74946,0.43022,1.21496,1.60266,1.11962,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6171.56,1.3251,1.07601,1.28868,0.76221,0.67675,0.75692,0.4315,1.20987,1.54143,1.11838,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6464.24,1.32244,1.06787,1.2881,0.76616,0.67162,0.75938,0.43849,1.20411,1.50719,1.11093,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,6754.69,1.31339,1.05561,1.27789,0.76717,0.68044,0.76013,0.43593,1.20958,1.54525,1.11549,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,326.91,1.30383,1.03627,1.27525,0.76607,0.68329,0.76336,0.43848,1.25918,1.21743,1.19721,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,647.294,1.29833,1.02471,1.27099,0.75242,0.69015,0.76065,0.43905,1.25654,1.21617,1.19379,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,971.239,1.29664,1.01565,1.27029,0.74248,0.69492,0.75915,0.43691,1.25999,1.21385,1.19425,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,1248.74,1.32245,0.97973,1.29176,0.75542,0.68842,0.75973,0.4378,1.26195,1.19243,1.19629,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,1534.92,1.31568,0.95316,1.28874,0.7669,0.68818,0.76197,0.44031,1.25896,1.15613,1.19154,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,1821.39,1.29336,0.938,1.27526,0.75864,0.69346,0.76459,0.44182,1.25335,1.10539,1.19009,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,2107.33,1.27719,0.92088,1.26623,0.7808,0.68366,0.76479,0.44245,1.25187,1.11495,1.19297,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,2394.87,1.26818,0.89989,1.2603,0.76526,0.6935,0.76518,0.44429,1.25615,1.10695,1.19586,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,2680.92,1.25046,0.87389,1.24777,0.7771,0.68557,0.76698,0.44434,1.25594,1.08355,1.1992,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,2964.47,1.24783,0.87255,1.24198,0.77095,0.69595,0.76913,0.44618,1.25815,1.07324,1.1972,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,3261.24,1.23646,0.85473,1.23754,0.78092,0.68704,0.76984,0.44561,1.25862,1.06088,1.19859,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,3553.5,1.22687,0.83608,1.22881,0.78605,0.6869,0.77054,0.44627,1.26016,1.04724,1.20183,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,3848.34,1.22012,0.83325,1.22646,0.778,0.69305,0.77054,0.44699,1.26012,1.04091,1.20209,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
